south_arden;South Arden;x
north_arden;North Arden;x
ciric;Ciric;x
palish;Palish;x
ollin;Ollin;x
sillesian;Sillesian;x
aelin;Aelin;x
filn;Filn;x
futn;Futn;x
koullan;Koullan;x
buldashi;Buldashi;x
celian;Celian;x
gladan;Gladan;x
south_bosnark;South Bosnark;x
north_bosnark;North Bosnark;x
pasan;Pasan;x
darren;Darren;x
dirven;Dirven;x
ertan;Ertan;x
docen;Docen;x
iquan;Iquan;x
odparshing;Odparshing;x
memphin;Memphin;x
antlanin;Antlanin;x
ethior;Ethior;x
sudparshing;Sudparshing;x
wostciric;Wostciric;x
walnf;Walnf;x
wif;Wif;x
sudirk;Sudirk;x
warf;Warf;x
winf;Winf;x
saqui;Saqui;x
sakirn;Sakirn;x
sudsan;Sudsan;x
odsan;Odsan;x
furodsan;Furodsan;x
inlandar;Inlandar;x
odinlandar;Odinlandar;x
wool_factory;Wool Fabric;x
wool_fabric_factory;Wool Fabric Factory;x
C53;Sillysia;x
C53_ADJ;Sill;x
world_bank_rp_nerf;World Bank Nerf;x
BAN;World Bank;x
BAN_ADJ;World Bank;x
nv_mercantilism;Mercantilism;x
nv_fanatacism;Fanatacism;x
nv_statism;Statism;x
nv_tribalism;Tribalism;x
nv_regionalism;Regionalism;x
land_reform_two;Extensive land reform;x
admin_reform_two;Extensive admin reform;x
education_reform_two;Extensive school reform;x
transport_improv_two;Advanced;x
no_western_science;Reject foreign investment;x
yes_western_science;Accept foreign investment;x
western_science_two;Promote foreign investment;x
